Thread ID: 15070140
Fiber ID: 68236160
Total: 6503.513376
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.17   1045.168    11.051     0.000  1034.117  2028405   ActiveRecord::ConnectionAdapters::AbstractAdapter#log 
  0.17     13.850    11.030     0.000     2.819  4056804   Arel::Nodes::Unary#initialize 
  0.17    129.638    10.899     0.000   118.739  6302955   Kernel#initialize_clone 
  0.17     56.582    10.894     0.000    45.688  4056807   ActiveSupport::Notifications::Event#duration 
  0.17     47.858    10.865     0.000    36.993  2028402   ActiveSupport::TaggedLogging::Formatter#call 
  0.17     29.057    10.856     0.000    18.200  4514822   ActiveRecord::AttributeMethods::Read::ClassMethods#cache_attribute? 
  0.17     10.826    10.825     0.000     0.001  4997749   ActiveRecord::AttributeMethods::PrimaryKey::ClassMethods#primary_key 
  0.17     10.821    10.819     0.000     0.002  8118597   ActiveRecord::Reflection::AssociationReflection#klass 
  0.17     12.614    10.791     0.000     1.823  2028402   ActiveSupport::Logger::SimpleFormatter#call 
  0.16     20.918    10.644     0.000    10.274  2142158   Struct#hash 
  0.16     16.476    10.625     0.000     5.851  4059740   <Class::#<Class:0x00000001ff7728>>#new 
  0.16   3451.632    10.428     0.000  3441.205  2001431   ActiveRecord::FinderMethods#find_take 
  0.16   5527.970    10.414     0.000  5517.557  1999008   ActiveRecord::Associations::SingularAssociation#find_target 
  0.16     94.689    10.348     0.000    84.340  2108361   ActiveRecord::ConnectionAdapters::AbstractMysqlAdapter#quote 
  0.16     15.757    10.302     0.000     5.455  4003888   Arel::Nodes::Binary#eql? 
  0.16   1336.923    10.295     0.000  1326.628  2028402   ActiveRecord::ConnectionAdapters::Mysql2Adapter#exec_query 
  0.16     14.484    10.219     0.000     4.265  6293705   Kernel#=== 
  0.16     10.182    10.182     0.000     0.000  6085206   ActiveRecord::QueryMethods#includes_values 
  0.15     50.013    10.050     0.000    39.963  3995080   ActiveRecord::Associations::BelongsToAssociation#invertible_for? 
  0.15   2051.864     9.921     0.000  2041.943  2027447   ActiveRecord::Associations::Association#scope 
  0.15     23.768     9.852     0.000    13.916  4032327   ActiveRecord::ConnectionAdapters::AbstractAdapter#substitute_at 
  0.15      9.834     9.833     0.000     0.000  4082824  *ActiveRecord::ModelSchema::ClassMethods#table_name 
  0.15     39.890     9.794     0.000    30.097  2082344   ActiveRecord::Sanitization::ClassMethods#sanitize_sql_for_conditions 
  0.15      9.786     9.786     0.000     0.000  6084764   ActiveRecord::QueryMethods#lock_value 
  0.15     72.348     9.731     0.000    62.617  1997540   ActiveRecord::Associations::BelongsToPolymorphicAssociation#stale_state 
  0.15     27.846     9.707     0.000    18.139  2085280   ActiveRecord::QueryMethods#build_where 
  0.15      9.704     9.704     0.000     0.000  8380464   Array#initialize_copy 
  0.15      9.684     9.684     0.000     0.000  9359532   Hash#key? 
  0.15      9.621     9.621     0.000     0.000  4056362   ActiveRecord::Relation::Merger#partition_overwrites 
  0.15     39.169     9.620     0.000    29.549  3000201   ActiveRecord::Inheritance::ClassMethods#using_single_table_inheritance? 
  0.15    113.792     9.610     0.000   104.182  2997778   ActiveRecord::Associations::Association#loaded! 
  0.15      9.556     9.556     0.000     0.000  2029873   Array#flatten! 
  0.15     11.079     9.502     0.000     1.577  2000476   ActiveRecord::Associations::AliasTracker#aliased_name_for 
  0.14      9.420     9.420     0.000     0.000  2028402   ActiveRecord::Result#initialize 
  0.14     32.607     9.330     0.000    23.277  4056810   ActiveSupport::Notifications::Fanout#listeners_for 
  0.14     31.435     9.306     0.000    22.129  2001431   Arel::SelectManager#take 
  0.14    139.487     9.059     0.000   130.427  2164725  *Proc#call 
  0.14     74.997     9.056     0.000    65.941  5192522  *ActiveRecord::Scoping::ClassMethods#current_scope 
  0.14    192.572     9.030     0.000   183.542  2028402   ActiveRecord::Result#hash_rows 
  0.14     45.688     8.984     0.000    36.704  2028405   Time#minus_with_coercion 
  0.14      8.942     8.942     0.000     0.000 10140621   <Module::Process>#pid 
  0.14      8.922     8.922     0.000     0.000  6084764   ActiveRecord::QueryMethods#from_value 
  0.14      8.861     8.861     0.000     0.000 12781078   BasicObject#== 
  0.13     25.255     8.780     0.000    16.476  4059740   Arel::Table#[] 
